regiao,cod_uf,uf_pad,uf_sigla,cod_regsaud,regiao_saude,cod_municipio,cod_municipiodv,municipio,ano,populacao
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521470,5214705,Nova América,2020,2357
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521480,5214804,Nova Aurora,2020,2222
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,521483,5214838,Nova Crixás,2020,12945
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521486,5214861,Nova Glória,2020,8112
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,521487,5214879,Nova Iguaçu de Goiás,2020,2934
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,521490,5214903,Nova Roma,2020,3236
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521500,5215009,Nova Veneza,2020,10018
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,521520,5215207,Novo Brasil,2020,2843
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,521523,5215231,Novo Gama,2020,117703
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,521525,5215256,Novo Planalto,2020,4544
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,521530,5215306,Orizona,2020,15725
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521540,5215405,Ouro Verde de Goiás,2020,3723
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521550,5215504,Ouvidor,2020,6782
Região Centro-Oeste,52,GOIAS,GO,52018,São Patrício II,521560,5215603,Padre Bernardo,2020,34430
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,521565,5215652,Palestina de Goiás,2020,3467
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,521570,5215702,Palmeiras de Goiás,2020,29392
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521580,5215801,Palmelo,2020,2381
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,521590,5215900,Palminópolis,2020,3582
Região Centro-Oeste,52,GOIAS,GO,52017,Sul,521600,5216007,Panamá,2020,2603
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521630,5216304,Paranaiguara,2020,10140
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,521640,5216403,Paraúna,2020,10980
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,521645,5216452,Perolândia,2020,3143
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521680,5216809,Petrolina de Goiás,2020,10261
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521690,5216908,Pilar de Goiás,2020,2194
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,521710,5217104,Piracanjuba,2020,24548
Região Centro-Oeste,52,GOIAS,GO,52009,Oeste I,521720,5217203,Piranhas,2020,10272
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,521730,5217302,Pirenópolis,2020,25064
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521740,5217401,Pires do Rio,2020,31686
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,521760,5217609,Planaltina,2020,90640
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,521770,5217708,Pontalina,2020,17860
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,521800,5218003,Porangatu,2020,45633
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521805,5218052,Porteirão,2020,3931
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,521810,5218102,Portelândia,2020,4022
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,521830,5218300,Posse,2020,37414
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,521839,5218391,Professor Jamil,2020,3203
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521850,5218508,Quirinópolis,2020,50701
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521860,5218607,Rialma,2020,10940
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521870,5218706,Rianápolis,2020,4817
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521878,5218789,Rio Quente,2020,4612
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521880,5218805,Rio Verde,2020,241518
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521890,5218904,Rubiataba,2020,19947
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,521900,5219001,Sanclerlândia,2020,7632
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521910,5219100,Santa Bárbara de Goiás,2020,6634
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,521920,5219209,Santa Cruz de Goiás,2020,2819
Região Centro-Oeste,52,GOIAS,GO,52012,Rio Vermelho,521925,5219258,Santa Fé de Goiás,2020,5523
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521930,5219308,Santa Helena de Goiás,2020,38808
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521935,5219357,Santa Isabel,2020,3815
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,521940,5219407,Santa Rita do Araguaia,2020,8935
Região Centro-Oeste,52,GOIAS,GO,52018,São Patrício II,521945,5219456,Santa Rita do Novo Destino,2020,3355
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521950,5219506,Santa Rosa de Goiás,2020,2252
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,521960,5219605,Santa Tereza de Goiás,2020,3280
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,521970,5219704,Santa Terezinha de Goiás,2020,8562
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,521971,5219712,Santo Antônio da Barra,2020,4854
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521973,5219738,Santo Antônio de Goiás,2020,6440
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,521975,5219753,Santo Antônio do Descoberto,2020,75829
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,521980,5219803,São Domingos,2020,13103
Região Centro-Oeste,52,GOIAS,GO,52001,Central,521990,5219902,São Francisco de Goiás,2020,6267
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,522000,5220009,São João d'Aliança,2020,14085
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,522005,5220058,São João da Paraúna,2020,1345
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,522010,5220108,São Luís de Montes Belos,2020,34157
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,522015,5220157,São Luiz do Norte,2020,5215
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,522020,5220207,São Miguel do Araguaia,2020,21920
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522026,5220264,São Miguel do Passa Quatro,2020,4082
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,522028,5220280,São Patrício,2020,2037
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,522040,5220405,São Simão,2020,20985
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522045,5220454,Senador Canedo,2020,118451
Região Centro-Oeste,52,GOIAS,GO,52016,Sudoeste II,522050,5220504,Serranópolis,2020,8642
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522060,5220603,Silvânia,2020,20816
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,522068,5220686,Simolândia,2020,6879
Região Centro-Oeste,52,GOIAS,GO,52007,Nordeste II,522070,5220702,Sítio d'Abadia,2020,3001
Região Centro-Oeste,52,GOIAS,GO,52001,Central,522100,5221007,Taquaral de Goiás,2020,3521
Região Centro-Oeste,52,GOIAS,GO,52006,Nordeste I,522108,5221080,Teresina de Goiás,2020,3498
Região Centro-Oeste,52,GOIAS,GO,52011,Pirineus,522119,5221197,Terezópolis de Goiás,2020,8186
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,522130,5221304,Três Ranchos,2020,2830
Região Centro-Oeste,52,GOIAS,GO,52001,Central,522140,5221403,Trindade,2020,129823
Região Centro-Oeste,52,GOIAS,GO,52008,Norte,522145,5221452,Trombas,2020,3498
Região Centro-Oeste,52,GOIAS,GO,52010,Oeste II,522150,5221502,Turvânia,2020,4564
Região Centro-Oeste,52,GOIAS,GO,52015,Sudoeste I,522155,5221551,Turvelândia,2020,5365
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,522157,5221577,Uirapuru,2020,2840
Região Centro-Oeste,52,GOIAS,GO,52014,Serra da Mesa,522160,5221601,Uruaçu,2020,40840
Região Centro-Oeste,52,GOIAS,GO,52013,São Patrício I,522170,5221700,Uruana,2020,13818
Região Centro-Oeste,52,GOIAS,GO,52005,Estrada de Ferro,522180,5221809,Urutaí,2020,3066
Região Centro-Oeste,52,GOIAS,GO,52004,Entorno Sul,522185,5221858,Valparaíso de Goiás,2020,172135
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522190,5221908,Varjão,2020,3838
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522200,5222005,Vianópolis,2020,13977
Região Centro-Oeste,52,GOIAS,GO,52002,Centro Sul,522205,5222054,Vicentinópolis,2020,8873
Região Centro-Oeste,52,GOIAS,GO,52003,Entorno Norte,522220,5222203,Vila Boa,2020,6312
Região Centro-Oeste,52,GOIAS,GO,52018,São Patrício II,522230,5222302,Vila Propício,2020,5882
